"filename", "language", "XML", "C#", "Markdown", "comment", "blank", "total"
"c:\Users\super\source\repos\TechMod\README.md", "Markdown", 0, 0, 73, 0, 29, 102
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Clear\ClearAction.cs", "C#", 0, 45, 0, 0, 5, 50
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Clear\ClearModule.cs", "C#", 0, 53, 0, 0, 3, 56
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Clear\ClearVote.cs", "C#", 0, 50, 0, 0, 11, 61
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Lock\LockAction.cs", "C#", 0, 149, 0, 2, 32, 183
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Lock\LockModule.cs", "C#", 0, 48, 0, 0, 2, 50
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Lock\LockVote.cs", "C#", 0, 38, 0, 0, 7, 45
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Mute\MuteUserAction.cs", "C#", 0, 28, 0, 0, 4, 32
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Mute\MuteUserModule.cs", "C#", 0, 63, 0, 0, 2, 65
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Mute\MuteUserVote.cs", "C#", 0, 54, 0, 0, 10, 64
"c:\Users\super\source\repos\TechMod\TechMod\Attributes\DoUserCheckAttribute.cs", "C#", 0, 26, 0, 7, 5, 38
"c:\Users\super\source\repos\TechMod\TechMod\Attributes\RequireOwnerAttribute.cs", "C#", 0, 26, 0, 0, 1, 27
"c:\Users\super\source\repos\TechMod\TechMod\Attributes\Title.cs", "C#", 0, 17, 0, 0, 2, 19
"c:\Users\super\source\repos\TechMod\TechMod\Classes\Utils.cs", "C#", 0, 27, 0, 0, 7, 34
"c:\Users\super\source\repos\TechMod\TechMod\Classes\VoteAction.cs", "C#", 0, 25, 0, 0, 8, 33
"c:\Users\super\source\repos\TechMod\TechMod\Classes\VoteManager.cs", "C#", 0, 22, 0, 0, 3, 25
"c:\Users\super\source\repos\TechMod\TechMod\Classes\VoteMenu.cs", "C#", 0, 204, 0, 3, 35, 242
"c:\Users\super\source\repos\TechMod\TechMod\Classes\VoteObject.cs", "C#", 0, 30, 0, 0, 5, 35
"c:\Users\super\source\repos\TechMod\TechMod\Config.cs", "C#", 0, 22, 0, 0, 3, 25
"c:\Users\super\source\repos\TechMod\TechMod\Data\CardDB.cs", "C#", 0, 126, 0, 2, 25, 153
"c:\Users\super\source\repos\TechMod\TechMod\InteractionHandler.cs", "C#", 0, 64, 0, 10, 11, 85
"c:\Users\super\source\repos\TechMod\TechMod\MainModule.cs", "C#", 0, 155, 0, 5, 43, 203
"c:\Users\super\source\repos\TechMod\TechMod\Migrations\20231013055452_InitialCreat.Designer.cs", "C#", 0, 59, 0, 2, 20, 81
"c:\Users\super\source\repos\TechMod\TechMod\Migrations\20231013055452_InitialCreat.cs", "C#", 0, 52, 0, 3, 6, 61
"c:\Users\super\source\repos\TechMod\TechMod\Migrations\InfoDBModelSnapshot.cs", "C#", 0, 57, 0, 1, 20, 78
"c:\Users\super\source\repos\TechMod\TechMod\Program.cs", "C#", 0, 57, 0, 3, 18, 78
"c:\Users\super\source\repos\TechMod\TechMod\TechMod.csproj", "XML", 33, 0, 0, 0, 8, 41
"Total", "-", 33, 1497, 73, 38, 325, 1966
