"filename", "language", "C#", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\super\source\repos\TechMod\README.md", "Markdown", 0, 0, 73, 0, 29, 102
"c:\Users\super\source\repos\TechMod\TechMod.Tests\GlobalUsings.cs", "C#", 1, 0, 0, 0, 0, 1
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Mocking\FakeClasses\FakeApplicationCommandInteractionData.cs", "C#", 19, 0, 0, 0, 5, 24
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Mocking\FakeClasses\FakeDiscordInteraction.cs", "C#", 71, 0, 0, 0, 25, 96
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Mocking\FakeClasses\FakeGuild.cs", "C#", 410, 0, 0, 0, 137, 547
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Mocking\FakeClasses\FakeMessage.cs", "C#", 99, 0, 0, 3, 50, 152
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Mocking\FakeClasses\FakeMessageChannel.cs", "C#", 115, 0, 0, 0, 26, 141
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Mocking\FakeClasses\FakeReaction.cs", "C#", 14, 0, 0, 0, 2, 16
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Mocking\FakeClasses\FakeRole.cs", "C#", 50, 0, 0, 0, 21, 71
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Mocking\FakeClasses\FakeSlashCommandInteraction.cs", "C#", 19, 0, 0, 0, 5, 24
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Mocking\FakeClasses\FakeUser.cs", "C#", 55, 0, 0, 0, 20, 75
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Mocking\FakeClasses\FakeUserMessage.cs", "C#", 53, 0, 0, 2, 14, 69
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Mocking\README.md", "Markdown", 0, 0, 4, 0, 1, 5
"c:\Users\super\source\repos\TechMod\TechMod.Tests\TechMod.Tests.csproj", "XML", 0, 25, 0, 0, 6, 31
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Tests\DatabaseTests.cs", "C#", 11, 0, 0, 0, 2, 13
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Tests\General\BotSystemTests.cs", "C#", 39, 0, 0, 0, 8, 47
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Tests\TestSamples\Vote\TestVote.cs", "C#", 32, 0, 0, 0, 6, 38
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Tests\UtilTests.cs", "C#", 19, 0, 0, 0, 5, 24
"c:\Users\super\source\repos\TechMod\TechMod.Tests\Tests\Votes\VoteTests.cs", "C#", 92, 0, 0, 1, 17, 110
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Clear\ClearAction.cs", "C#", 51, 0, 0, 0, 6, 57
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Clear\ClearModule.cs", "C#", 54, 0, 0, 0, 3, 57
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Clear\ClearVote.cs", "C#", 51, 0, 0, 0, 11, 62
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Lock\LockAction.cs", "C#", 153, 0, 0, 2, 33, 188
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Lock\LockModule.cs", "C#", 49, 0, 0, 0, 2, 51
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Lock\LockVote.cs", "C#", 39, 0, 0, 0, 7, 46
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Mute\MuteUserAction.cs", "C#", 30, 0, 0, 0, 4, 34
"c:\Users\super\source\repos\TechMod\TechMod\Actions\Mute\MuteUserModule.cs", "C#", 64, 0, 0, 0, 2, 66
